"cases","outside"
282,4
314,5
581,10
846,16
1320,23
2014,29
2798,37
4593,56
6065,68
7818,82
9826,106
11953,132
14557,146
17391,153
20630,159
24554,191
28276,216
31481,270
34886,288
37558,307
40554,319
43103,395
45171,441
46997,447
49053,505
50580,526
51857,683
71429,794
73332,804
75204,924
75748,1073
76769,1200
77794,1402
78811,1769
79331,2069
80239,2459
81109,2918
82294,3664
83652,4691
85403,6009
87137,7169
88948,8774
90869,10565
93090,12668
95333,14768
98192,17481
101927,21110
105586,24727
109577,28673
113702,32778
118319,37364
125048,44067
132758,51767
142534,61513
153517,72469
167515,86438
179111,97995
191127,110011
209839,128665
234073,152773
266073,184657
292142,210644
332930,251329